File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,CHW Pump Power,CW Pump Power,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
SWHC008-03 VSD Central Plant_New/runs/CZ04/Rt3&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Rt3,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,22659.57,0,582521.24,394508.4,0,436518,0,207755.83,65678.6,116689.5,0,0,0,0,0,579308.51,0,0,0,0,0,0,0,0,0,0,170236.78,0,0,2078169259
SWHC008-03 VSD Central Plant_New/runs/CZ05/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ05,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,25073.7,0,565503.75,163686.57,0,936314.72,0,235335.05,83484.21,178573.45,0,0,0,0,0,234394.42,0,0,0,68627.6,0,0,0,0,0,0,484981.25,0,0,1066683592
SWHC008-03 VSD Central Plant_New/runs/CZ04/Rt3&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,Rt3,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,583522.49,394508.4,0,436518,0,207735.66,229530.83,240155.78,0,0,0,0,0,579358.64,0,0,0,0,0,0,0,0,0,0,170240.89,0,0,2089024406
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfL&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,OfL,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,21701.23,0,674372.71,239542.44,0,831153.37,0,192459.05,88106.09,163334.61,0,0,0,0,0,286333.01,0,0,0,0,0,0,0,0,0,0,111399.95,0,0,1724677930
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfL&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,OfL,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,7601.6,,0,537515.31,239542.44,0,831153.37,0,192346.68,211194.72,228743.89,0,0,0,0,0,288908.07,0,0,0,0,0,0,0,0,0,0,111402.15,0,0,1486770073
SWHC008-03 VSD Central Plant_New/runs/CZ05/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ05,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,11611.56,,0,670983,626942.71,0,1141299.43,0,292043.72,322226.46,339117.31,0,0,0,0,0,727480.02,0,0,0,43737.51,0,0,0,0,0,0,274246.08,0,0,1917368458
SWHC008-03 VSD Central Plant_New/runs/CZ05/Nrs&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ05,Nrs,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1183.31,,0,93829.41,103288.37,0,282049.05,0,65355.88,31805.19,34844.42,0,0,0,0,0,75171.16,0,0,0,65854.75,0,0,0,0,0,0,125825.08,0,0,292215013.4
SWHC008-03 VSD Central Plant_New/runs/CZ05/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ05,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1376.95,,0,99773.77,94437.9,0,258328.15,0,312114.12,36752.83,40659.55,0,0,0,0,0,117889.5,0,0,0,64094.3,0,0,0,0,0,0,231757.94,0,0,463790360.2
SWHC008-03 VSD Central Plant_New/runs/CZ05/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ05,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,33148.99,0,830107.94,626942.71,0,1141299.43,0,292473.17,140202.07,259913.54,0,0,0,0,0,721617.98,0,0,0,43737.51,0,0,0,0,0,0,274251.69,0,0,1896435729
SWHC008-03 VSD Central Plant_New/runs/CZ05/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ05,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,8782.92,,0,362703.93,163686.57,0,936314.72,0,234780.18,240397.72,257199.51,0,0,0,0,0,233909.88,0,0,0,68627.6,0,0,0,0,0,0,484958.49,0,0,1002696739
SWHC008-03 VSD Central Plant_New/runs/CZ05/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ05,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,3930.94,0,110286.82,94437.9,0,258328.15,0,311832.07,8462,19309.64,0,0,0,0,0,117491.98,0,0,0,64094.3,0,0,0,0,0,0,231746.18,0,0,479891978.9
SWHC008-03 VSD Central Plant_New/runs/CZ05/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ05,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,110572.41,94437.9,0,258328.15,0,311836.8,38964.6,40736.43,0,0,0,0,0,117497.96,0,0,0,64094.3,0,0,0,0,0,0,231748.98,0,0,488155931.3
SWHC008-03 VSD Central Plant_New/runs/CZ05/EUn&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ05,EUn,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,1054807.64,643032.05,0,3553012.2,0,861527.41,520137.11,547890.9,0,0,0,0,0,512171.98,0,0,0,127428.8,0,0,0,0,0,0,736925.34,0,0,3364769512
SWHC008-03 VSD Central Plant_New/runs/CZ05/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ05,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,567601.76,163686.57,0,936314.72,0,235342.75,272306.19,261606.39,0,0,0,0,0,234387.04,0,0,0,68627.6,0,0,0,0,0,0,484964.92,0,0,1137769841
