Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ12,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,3.525
CZ12,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,3.5187
CZ12,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,3.3591
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,10.7999
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,12.8099
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,16.2604
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,28.4964
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,9.4841
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,8.5558
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,8.0399
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,8.0249
CZ12,SFm&2&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,7.5648
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,10.7999
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,12.8217
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,16.3042
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,28.4965
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,9.4765
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,8.5466
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,8.0399
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,8.0219
CZ12,SFm&2&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,7.5648
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,8.0619
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,9.6199
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,12.2946
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,21.7791
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,7.042
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,6.3224
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,5.9226
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,5.9109
CZ13,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,5.5543
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,8.0619
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,9.6291
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,12.3285
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,21.7792
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,7.0361
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,6.3153
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,5.9226
CZ13,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,5.9086
