Name,Parameter,Value
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Size Design Hot Water Volume Flow Rate,13
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Size Design Primary Air Volume Flow Rate,11
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Size Zone Total Beam Length,14
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Zone Total Beam Length,14
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Design Size Maximum Cold Water Flow Rate,15
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Design Size Maximum Hot Water Flow Rate,10
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Design Size Maximum Total Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Maximum Cold Water Flow Rate,15
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Maximum Hot Water Flow Rate,10
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEINDUCTION,Maximum Total Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:REHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:REHEAT,Design Size Maximum Hot Water or Steam Flow Rate,8
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:REHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:REHEAT,Maximum Hot Water or Steam Flow Rate,8
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Design Size Fan On Flow Fraction,6
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Design Size Maximum Hot Water or Steam Flow Rate,15
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Design Size Maximum Primary Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Design Size Maximum Secondary Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Design Size Minimum Primary Air Flow Fraction,5
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Fan On Flow Fraction,6
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Maximum Hot Water or Steam Flow Rate,15
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Maximum Primary Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Maximum Secondary Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:PARALLELPIU:REHEAT,Minimum Primary Air Flow Fraction,5
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Design Size Maximum Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Design Size Maximum Hot Water or Steam Flow Rate,14
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Design Size Maximum Primary Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Design Size Minimum Primary Air Flow Fraction,5
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Maximum Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Maximum Hot Water or Steam Flow Rate,14
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Maximum Primary Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:SERIESPIU:REHEAT,Minimum Primary Air Flow Fraction,5
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:NOREHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:NOREHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:NOREHEAT,Design Size Constant Minimum Air Flow Fraction,6
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:NOREHEAT,Design Size Minimum Air Flow Rate,nil
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:NOREHEAT,User-Specified Constant Minimum Air Flow Fraction,6
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:REHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:REHEAT,Design Size Maximum Hot Water or Steam Flow Rate,9
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:REHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:HEATANDCOOL:REHEAT,Maximum Hot Water or Steam Flow Rate,9
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Constant Minimum Air Flow Fraction,7
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Design Size Constant Minimum Air Flow Fraction,7
