File,Bldg,CZ,TechID,MappedRun,srcHeat,srcCool,srcFan,fileHeat,fileCool,fileFan,MATCH
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NR,WEIGHTED: LRM NR LSC R32 R454b rDXHP Base | LRM NR LSC R32 R454b rDXHP Base,7431.8364,1465.348,1215.4264,7431.8364,1465.348,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NC,WEIGHTED: LRM NR LSC R32 R454b rDXHP Base | LRM NR LSC R32 R454b rDXHP Base,7431.8364,1465.348,1215.4264,7431.8364,1465.348,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXHP Base | LRM AOE +15% RCA LSC R22 R410a rDXHP Base,10081.0196,2306.1408,1215.4264,10081.0196,2306.1408,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXHP Base | LRM AOE +15% RCA LSC R22 R410a rDXHP Base,10081.0196,2306.1408,1215.4264,10081.0196,2306.1408,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,10705.1292,2918.0904,1215.4264,10705.1292,2918.0904,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,10705.1292,2918.0904,1215.4264,10705.1292,2918.0904,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXHP Base | LRM AOE +30% RCA LSC R22 R410a rDXHP Base,11430.0728,3972.1192,1215.4264,11430.0728,3972.1192,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXHP Base | LRM AOE +30% RCA LSC R22 R410a rDXHP Base,11430.0728,3972.1192,1215.4264,11430.0728,3972.1192,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXHP Base | LRM AOE +40% RCA LSC R22 R410a rDXHP Base,12576.3684,7662.348,1215.4264,12576.3684,7662.348,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXHP Base | LRM AOE +40% RCA LSC R22 R410a rDXHP Base,12576.3684,7662.348,1215.4264,12576.3684,7662.348,1215.4264,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,1734.852,716.5156,0.0,1734.852,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,1734.852,716.5156,0.0,1734.852,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXGF Base | LRM AOE LSC R22 R410a rDXGF Base,0.0,1479.3744,716.5156,0.0,1479.3744,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXGF Base | LRM AOE LSC R22 R410a rDXGF Base,0.0,1479.3744,716.5156,0.0,1479.3744,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NR,WEIGHTED: LRM NR LSC R454b rDXGF Base | LRM NR LSC R454b rDXGF Base,0.0,1333.2664,716.5156,0.0,1333.2664,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NC,WEIGHTED: LRM NR LSC R454b rDXGF Base | LRM NR LSC R454b rDXGF Base,0.0,1333.2664,716.5156,0.0,1333.2664,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXGF Base | LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,2096.9768,716.5156,0.0,2096.9768,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXGF Base | LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,2096.9768,716.5156,0.0,2096.9768,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,2650.168,716.5156,0.0,2650.168,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,2650.168,716.5156,0.0,2650.168,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXGF Base | LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,3599.8144,716.5156,0.0,3599.8144,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXGF Base | LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,3599.8144,716.5156,0.0,3599.8144,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXGF Base | LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,6967.374,716.5156,0.0,6967.374,716.5156,Y
UEC_kWhBase.csv,SFm,3,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXGF Base | LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,6967.374,716.5156,0.0,6967.374,716.5156,Y
