PA,bldgtype,bldgloc,bldghvac,wtval
Any,MFm,CZ13,rEVOH,1154.3
Any,MFm,CZ13,rNCEF ,47.3
Any,MFm,CZ13,rNCEH,327.4
Any,MFm,CZ13,rNCGF,0.01
Any,MFm,CZ13,rNCOH,12353.9
Any,MFm,CZ14,rDXEF,891.0
Any,MFm,CZ14,rDXEH,0.01
Any,MFm,CZ14,rDXGF,14144.7
Any,MFm,CZ14,rDXHP,521.6
Any,MFm,CZ14,rDXHW,0.01
Any,MFm,CZ14,rDXOH,1241.5
Any,MFm,CZ14,rDXWP,0.01
Any,MFm,CZ14,rEVEF,0.01
Any,MFm,CZ14,rEVEH,0.01
Any,MFm,CZ14,rEVGF,0.01
Any,MFm,CZ14,rEVOH,737.1
Any,MFm,CZ14,rNCEF ,0.01
Any,MFm,CZ14,rNCEH,0.01
Any,MFm,CZ14,rNCGF,214.5
Any,MFm,CZ14,rNCOH,2175.0
Any,MFm,CZ15,rDXEF,4260.9
Any,MFm,CZ15,rDXEH,519.1
Any,MFm,CZ15,rDXGF,17742.6
Any,MFm,CZ15,rDXHP,4154.0
Any,MFm,CZ15,rDXHW,0.01
Any,MFm,CZ15,rDXOH,3889.7
Any,MFm,CZ15,rDXWP,0.01
Any,MFm,CZ15,rEVEF,334.4
Any,MFm,CZ15,rEVEH,0.01
Any,MFm,CZ15,rEVGF,202.8
Any,MFm,CZ15,rEVOH,49.0
Any,MFm,CZ15,rNCEF ,0.01
Any,MFm,CZ15,rNCEH,0.01
Any,MFm,CZ15,rNCGF,185.4
Any,MFm,CZ15,rNCOH,466.0
Any,MFm,CZ16,rDXEF,0.01
Any,MFm,CZ16,rDXEH,0.01
Any,MFm,CZ16,rDXGF,1172.4
Any,MFm,CZ16,rDXHP,3466.8
Any,MFm,CZ16,rDXHW,0.01
Any,MFm,CZ16,rDXOH,451.0
Any,MFm,CZ16,rDXWP,0.01
Any,MFm,CZ16,rEVEF,0.01
Any,MFm,CZ16,rEVEH,0.01
Any,MFm,CZ16,rEVGF,129.8
Any,MFm,CZ16,rEVOH,454.3
Any,MFm,CZ16,rNCEF ,0.01
Any,MFm,CZ16,rNCEH,59.4
