pa,bldgtype,era,bldgloc,sum_bldg
Any,Nrs,New,CZ10,0.247
Any,Nrs,New,CZ11,0.045
Any,Nrs,New,CZ12,0.148
Any,Nrs,New,CZ13,0.153
Any,Nrs,New,CZ14,0.039
Any,Nrs,New,CZ15,0.048
Any,Nrs,New,CZ16,0.03
Any,OfL,Ex,CZ01,1.723
Any,OfL,Ex,CZ02,20.389
Any,OfL,Ex,CZ03,215.697
Any,OfL,Ex,CZ04,92.19
Any,OfL,Ex,CZ05,9.204
Any,OfL,Ex,CZ06,270.731
Any,OfL,Ex,CZ07,85.196
Any,OfL,Ex,CZ08,346.362
Any,OfL,Ex,CZ09,346.675
Any,OfL,Ex,CZ10,95.1
Any,OfL,Ex,CZ11,8.097
Any,OfL,Ex,CZ12,68.839
Any,OfL,Ex,CZ13,36.773
Any,OfL,Ex,CZ14,17.532
Any,OfL,Ex,CZ15,20.947
Any,OfL,Ex,CZ16,8.756
Any,OfL,New,CZ01,0.012
Any,OfL,New,CZ02,0.178
Any,OfL,New,CZ03,1.623
Any,OfL,New,CZ04,0.903
Any,OfL,New,CZ05,0.074
Any,OfL,New,CZ06,1.273
Any,OfL,New,CZ07,0.734
Any,OfL,New,CZ08,1.712
Any,OfL,New,CZ09,2.078
Any,OfL,New,CZ10,1.227
Any,OfL,New,CZ11,0.103
Any,OfL,New,CZ12,0.847
Any,OfL,New,CZ13,0.447
Any,OfL,New,CZ14,0.194
Any,OfL,New,CZ15,0.291
Any,OfL,New,CZ16,0.095
Any,OfS,Ex,CZ01,2.294
Any,OfS,Ex,CZ02,5.618
Any,OfS,Ex,CZ03,33.511
Any,OfS,Ex,CZ04,26.236
Any,OfS,Ex,CZ05,2.532
Any,OfS,Ex,CZ06,64.362
Any,OfS,Ex,CZ07,44.771
Any,OfS,Ex,CZ08,80.244
Any,OfS,Ex,CZ09,65.721
Any,OfS,Ex,CZ10,68.392
Any,OfS,Ex,CZ11,8.295
Any,OfS,Ex,CZ12,32.701
Any,OfS,Ex,CZ13,41.674
Any,OfS,Ex,CZ14,8.44
Any,OfS,Ex,CZ15,16.041
Any,OfS,Ex,CZ16,5.753
Any,OfS,New,CZ01,0.018
Any,OfS,New,CZ02,0.05
Any,OfS,New,CZ03,0.301
Any,OfS,New,CZ04,0.243
Any,OfS,New,CZ05,0.023
Any,OfS,New,CZ06,0.553
Any,OfS,New,CZ07,0.336
Any,OfS,New,CZ08,0.685
Any,OfS,New,CZ09,0.526
Any,OfS,New,CZ10,0.865
Any,OfS,New,CZ11,0.075
Any,OfS,New,CZ12,0.312
Any,OfS,New,CZ13,0.384
Any,OfS,New,CZ14,0.104
Any,OfS,New,CZ15,0.217
Any,OfS,New,CZ16,0.061
Any,RFF,Ex,CZ01,0.388
Any,RFF,Ex,CZ02,1.776
Any,RFF,Ex,CZ03,8.154
Any,RFF,Ex,CZ04,3.567
Any,RFF,Ex,CZ05,1.004
Any,RFF,Ex,CZ06,22.56
Any,RFF,Ex,CZ07,5.767
Any,RFF,Ex,CZ08,26.716
Any,RFF,Ex,CZ09,22.252
Any,RFF,Ex,CZ10,23.538
Any,RFF,Ex,CZ11,1.594
Any,RFF,Ex,CZ12,5.515
Any,RFF,Ex,CZ13,5.564
Any,RFF,Ex,CZ14,4.512
Any,RFF,Ex,CZ15,4.263
Any,RFF,Ex,CZ16,2.054
Any,RFF,New,CZ01,0.002
Any,RFF,New,CZ02,0.01
Any,RFF,New,CZ03,0.048
Any,RFF,New,CZ04,0.019
Any,RFF,New,CZ05,0.008
Any,RFF,New,CZ06,0.258
Any,RFF,New,CZ07,0.05
Any,RFF,New,CZ08,0.3
Any,RFF,New,CZ09,0.207
Any,RFF,New,CZ10,0.338
Any,RFF,New,CZ11,0.01
Any,RFF,New,CZ12,0.035
Any,RFF,New,CZ13,0.046
Any,RFF,New,CZ14,0.063
Any,RFF,New,CZ15,0.063
Any,RFF,New,CZ16,0.026
Any,RSD,Ex,CZ01,0.388
Any,RSD,Ex,CZ02,1.776
Any,RSD,Ex,CZ03,8.154
Any,RSD,Ex,CZ04,3.567
Any,RSD,Ex,CZ05,1.004
Any,RSD,Ex,CZ06,22.56
Any,RSD,Ex,CZ07,5.767
Any,RSD,Ex,CZ08,26.716
Any,RSD,Ex,CZ09,22.252
Any,RSD,Ex,CZ10,23.538
Any,RSD,Ex,CZ11,1.594
Any,RSD,Ex,CZ12,5.515
Any,RSD,Ex,CZ13,5.564
Any,RSD,Ex,CZ14,4.512
Any,RSD,Ex,CZ15,4.263
Any,RSD,Ex,CZ16,2.054
Any,RSD,New,CZ01,0.002
Any,RSD,New,CZ02,0.01
Any,RSD,New,CZ03,0.048
Any,RSD,New,CZ04,0.019
Any,RSD,New,CZ05,0.008
Any,RSD,New,CZ06,0.258
Any,RSD,New,CZ07,0.05
Any,RSD,New,CZ08,0.3
Any,RSD,New,CZ09,0.207
Any,RSD,New,CZ10,0.338
Any,RSD,New,CZ11,0.01
Any,RSD,New,CZ12,0.035
Any,RSD,New,CZ13,0.046
Any,RSD,New,CZ14,0.063
Any,RSD,New,CZ15,0.063
Any,RSD,New,CZ16,0.026
Any,Rt3,Ex,CZ01,1.352
Any,Rt3,Ex,CZ02,9.106
Any,Rt3,Ex,CZ03,42.179
Any,Rt3,Ex,CZ04,18.569
Any,Rt3,Ex,CZ05,4.617
Any,Rt3,Ex,CZ06,84.219
Any,Rt3,Ex,CZ07,24.675
Any,Rt3,Ex,CZ08,99.978
Any,Rt3,Ex,CZ09,79.499
Any,Rt3,Ex,CZ10,86.276
Any,Rt3,Ex,CZ11,7.523
Any,Rt3,Ex,CZ12,31.391
Any,Rt3,Ex,CZ13,29.012
Any,Rt3,Ex,CZ14,14.028
Any,Rt3,Ex,CZ15,10.781
Any,Rt3,Ex,CZ16,3.331
Any,Rt3,New,CZ01,0.01
Any,Rt3,New,CZ02,0.071
Any,Rt3,New,CZ03,0.305
Any,Rt3,New,CZ04,0.15
Any,Rt3,New,CZ05,0.04
Any,Rt3,New,CZ06,0.861
Any,Rt3,New,CZ07,0.281
Any,Rt3,New,CZ08,1.032
Any,Rt3,New,CZ09,0.845
Any,Rt3,New,CZ10,1.493
Any,Rt3,New,CZ11,0.081
Any,Rt3,New,CZ12,0.309
Any,Rt3,New,CZ13,0.365
Any,Rt3,New,CZ14,0.217
Any,Rt3,New,CZ15,0.195
Any,Rt3,New,CZ16,0.05
Any,RtL,Ex,CZ01,1.352
Any,RtL,Ex,CZ02,9.106
Any,RtL,Ex,CZ03,42.179
Any,RtL,Ex,CZ04,18.569
Any,RtL,Ex,CZ05,4.617
Any,RtL,Ex,CZ06,84.219
Any,RtL,Ex,CZ07,24.675
Any,RtL,Ex,CZ08,99.978
Any,RtL,Ex,CZ09,79.499
Any,RtL,Ex,CZ10,86.276
Any,RtL,Ex,CZ11,7.523
Any,RtL,Ex,CZ12,31.391
Any,RtL,Ex,CZ13,29.012
Any,RtL,Ex,CZ14,14.028
Any,RtL,Ex,CZ15,10.781
Any,RtL,Ex,CZ16,3.331
Any,RtL,New,CZ01,0.01
Any,RtL,New,CZ02,0.071
Any,RtL,New,CZ03,0.305
Any,RtL,New,CZ04,0.15
Any,RtL,New,CZ05,0.04
Any,RtL,New,CZ06,0.861
Any,RtL,New,CZ07,0.281
Any,RtL,New,CZ08,1.032
Any,RtL,New,CZ09,0.845
Any,RtL,New,CZ10,1.493
Any,RtL,New,CZ11,0.081
Any,RtL,New,CZ12,0.309
Any,RtL,New,CZ13,0.365
Any,RtL,New,CZ14,0.217
Any,RtL,New,CZ15,0.195
Any,RtL,New,CZ16,0.05
Any,RtS,Ex,CZ01,1.352
Any,RtS,Ex,CZ02,9.106
Any,RtS,Ex,CZ03,42.179
Any,RtS,Ex,CZ04,18.569
Any,RtS,Ex,CZ05,4.617
Any,RtS,Ex,CZ06,84.219
Any,RtS,Ex,CZ07,24.675
Any,RtS,Ex,CZ08,99.978
Any,RtS,Ex,CZ09,79.499
Any,RtS,Ex,CZ10,86.276
Any,RtS,Ex,CZ11,7.523
Any,RtS,Ex,CZ12,31.391
Any,RtS,Ex,CZ13,29.012
Any,RtS,Ex,CZ14,14.028
Any,RtS,Ex,CZ15,10.781
Any,RtS,Ex,CZ16,3.331
Any,RtS,New,CZ01,0.01
Any,RtS,New,CZ02,0.071
Any,RtS,New,CZ03,0.305
Any,RtS,New,CZ04,0.15
Any,RtS,New,CZ05,0.04
Any,RtS,New,CZ06,0.861
Any,RtS,New,CZ07,0.281
Any,RtS,New,CZ08,1.032
Any,RtS,New,CZ09,0.845
Any,RtS,New,CZ10,1.493
Any,RtS,New,CZ11,0.081
Any,RtS,New,CZ12,0.309
Any,RtS,New,CZ13,0.365
Any,RtS,New,CZ14,0.217
Any,RtS,New,CZ15,0.195
Any,RtS,New,CZ16,0.05
Any,SCn,Ex,CZ01,1.447
Any,SCn,Ex,CZ02,10.893
Any,SCn,Ex,CZ03,57.949
Any,SCn,Ex,CZ04,21.262
Any,SCn,Ex,CZ05,1.691
Any,SCn,Ex,CZ06,68.987
Any,SCn,Ex,CZ07,24.78
Any,SCn,Ex,CZ08,200.11
Any,SCn,Ex,CZ09,94.136
Any,SCn,Ex,CZ10,208.186
Any,SCn,Ex,CZ11,10.889
Any,SCn,Ex,CZ12,43.387
Any,SCn,Ex,CZ13,35.653
Any,SCn,Ex,CZ14,4.556
Any,SCn,Ex,CZ15,3.671
Any,SCn,Ex,CZ16,5.069
Any,SCn,New,CZ01,0.015
Any,SCn,New,CZ02,0.089
Any,SCn,New,CZ03,0.467
Any,SCn,New,CZ04,0.17
