Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Epr,M1,CZ03,cDXHP,0,6383989927.11,111264286.18,0,25826552861.44,42821859357.83,,,,
Epr,M1,CZ04,cDXHP,0,10988820619.86,7150761282.7,0,37472438930.31,158826940131,,,,
Epr,M1,CZ05,cDXHP,0,3699442851.25,118418038.86,0,22394489440.19,55204969001.09,,,,
Epr,M1,CZ06,cDXHP,0,35056117.65,351844370.19,0,4320765474.17,104607575639.86,,,,
Epr,M1,CZ07,cDXHP,0,0,484154776.46,0,4118439621.55,112793342376.01,,,,
Epr,M1,CZ08,cDXHP,0,180363958.04,4398656249.13,0,6143734766.42,184947311843.5,,,,
Epr,M1,CZ09,cDXHP,0,1246252639.41,6183244011.33,0,8888064387.71,185372226833.69,,,,
Epr,M1,CZ10,cDXHP,0,901212267.07,7477116997.6,0,9572512340.61,206548087659.18,,,,
Epr,M1,CZ11,cDXHP,0,16928800020.81,19066872805.41,0,44902865587.8,233461418863.34,,,,
Epr,M1,CZ12,cDXHP,0,17058313480.1,7369079835.15,0,44458037735.65,157184234098.93,,,,
Epr,M1,CZ13,cDXHP,0,16191157892.79,19444615612.54,0,36566112337.73,247947139119.7,,,,
Epr,M1,CZ14,cDXHP,0,12127050272.56,15036584713.99,0,35180871621.23,234656454584.4,,,,
Epr,M1,CZ15,cDXHP,0,696147322.09,53806288374.27,0,3651077857.17,447279470728.73,,,,
Epr,M1,CZ16,cDXHP,0,22617543924.11,1202949230.64,0,87572569308.08,72582637197.61,,,,
Epr,M1,CZ01,cPTAC,0,0,0,0,0,2830613247.99,,,,
Epr,M1,CZ02,cPTAC,0,0,1579755556.91,0,0,88452866268.56,,,,
Epr,M1,CZ03,cPTAC,0,0,110094046.62,0,0,42616424353.34,,,,
Epr,M1,CZ04,cPTAC,0,0,7076839854.04,0,0,155456255901.25,,,,
Epr,M1,CZ05,cPTAC,0,0,115039529.76,0,0,54199194361.98,,,,
Epr,M1,CZ06,cPTAC,0,0,348676771.46,0,0,109059607608.81,,,,
Epr,M1,CZ07,cPTAC,0,0,481315845.48,0,0,116647315641.15,,,,
Epr,M1,CZ08,cPTAC,0,0,4369277611.62,0,0,185853676728.36,,,,
Epr,M1,CZ09,cPTAC,0,0,6153979274.21,0,0,185244376916.79,,,,
Epr,M1,CZ10,cPTAC,0,0,7454906523.77,0,0,205890720416.97,,,,
Epr,M1,CZ11,cPTAC,0,0,18992344820.86,0,0,230849392496.27,,,,
Epr,M1,CZ12,cPTAC,0,0,7331888275.65,0,0,155987969747.86,,,,
Epr,M1,CZ13,cPTAC,0,0,19390158276.9,0,0,246514568636.13,,,,
Epr,M1,CZ14,cPTAC,0,0,14946798106.25,0,0,230727576702.54,,,,
Epr,M1,CZ15,cPTAC,0,0,53806188416.9,0,0,446909067268.88,,,,
Epr,M1,CZ16,cPTAC,0,0,1192913723.26,0,0,70806634991.99,,,,
Epr,M1,CZ01,cPVVG,63077848094.31,0,0,377264811484.63,0,4539841232.98,,,,
