Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Asm,M2,CZ10,cPTAC,0.0,0.0,41932159.26,0.0,0.0,1028228914518.65,,,,
Asm,M2,CZ11,cPTAC,0.0,0.0,653328218.55,0.0,0.0,1028537341080.72,,,,
Asm,M2,CZ12,cPTAC,0.0,0.0,0.0,0.0,0.0,967988046702.73,,,,
Asm,M2,CZ13,cPTAC,0.0,0.0,1050225429.27,0.0,0.0,1056017621039.22,,,,
Asm,M2,CZ14,cPTAC,0.0,0.0,676168602.38,0.0,0.0,1055837628974.25,,,,
Asm,M2,CZ15,cPTAC,0.0,0.0,7669528121.16,0.0,0.0,1240532021302.74,,,,
Asm,M2,CZ16,cPTAC,0.0,0.0,16898121.91,0.0,0.0,909492117857.97,,,,
Asm,M2,CZ01,cPVVG,0.0,0.0,0.0,959691631.29,0.0,721753897449.53,,,,
Asm,M2,CZ02,cPVVG,0.0,0.0,0.0,662790706.88,0.0,826361843875.9,,,,
Asm,M2,CZ03,cPVVG,0.0,0.0,0.0,141684770.99,0.0,806410456558.61,,,,
Asm,M2,CZ04,cPVVG,0.0,0.0,0.0,421993135.04,0.0,896150743933.9,,,,
Asm,M2,CZ05,cPVVG,0.0,0.0,0.0,84079395.05,0.0,814555381792.05,,,,
Asm,M2,CZ06,cPVVG,0.0,0.0,0.0,5603513.7,0.0,873464136877.84,,,,
Asm,M2,CZ07,cPVVG,0.0,0.0,0.0,163123.47,0.0,874290786096.55,,,,
Asm,M2,CZ08,cPVVG,0.0,0.0,12625520.39,7380090.75,0.0,932561516160.04,,,,
Asm,M2,CZ09,cPVVG,0.0,0.0,32338306.24,29493475.61,0.0,938316599462.79,,,,
Asm,M2,CZ10,cPVVG,0.0,0.0,25038552.95,11010475.59,0.0,944467943804.77,,,,
Asm,M2,CZ11,cPVVG,0.0,0.0,373448337.29,1043726162.81,0.0,940537204444.57,,,,
Asm,M2,CZ12,cPVVG,0.0,0.0,0.0,561697611.17,0.0,889316393166.86,,,,
Asm,M2,CZ13,cPVVG,0.0,0.0,597735275.19,263508628.36,0.0,969301275427.76,,,,
Asm,M2,CZ14,cPVVG,0.0,0.0,370006441.99,319540838.5,0.0,960284831231.2,,,,
Asm,M2,CZ15,cPVVG,0.0,0.0,4060022683.21,5874587.49,0.0,1148565711882.55,,,,
Asm,M2,CZ16,cPVVG,0.0,0.0,9809927.36,4432678514.08,0.0,813917423545.17,,,,
Asm,M3,CZ01,cDXGF,1717017936.62,0.0,547187898679.01,1717017936.62,0.0,547187898679.01,,,,
Asm,M3,CZ02,cDXGF,1313655965.76,0.0,633023527238.66,1313655965.76,0.0,633023527238.66,,,,
Asm,M3,CZ03,cDXGF,337374630.51,0.0,616078443064.97,337374630.51,0.0,616078443064.97,,,,
Asm,M3,CZ04,cDXGF,847771661.26,0.0,695518583688.05,847771661.26,0.0,695518583688.05,,,,
Asm,M3,CZ05,cDXGF,197950517.27,0.0,623590466608.1,197950517.27,0.0,623590466608.1,,,,
Asm,M3,CZ06,cDXGF,11313860.75,0.0,672951821258.46,11313860.75,0.0,672951821258.46,,,,
Asm,M3,CZ07,cDXGF,653900.51,0.0,673566872254.12,653900.51,0.0,673566872254.12,,,,
Asm,M3,CZ08,cDXGF,15114565.49,0.0,721530149844.0,15114565.49,0.0,721530149844.0,,,,
Asm,M3,CZ09,cDXGF,66052363.82,0.0,729686582530.6,66052363.82,0.0,729686582530.6,,,,
Asm,M3,CZ10,cDXGF,23781891.59,0.0,735757298364.85,23781891.59,0.0,735757298364.85,,,,
Asm,M3,CZ11,cDXGF,1974094659.89,0.0,733129891996.98,1974094659.89,0.0,733129891996.98,,,,
Asm,M3,CZ12,cDXGF,1216663797.0,0.0,686860359141.09,1216663797.0,0.0,686860359141.09,,,,
Asm,M3,CZ13,cDXGF,750588657.13,0.0,756207670206.52,750588657.13,0.0,756207670206.52,,,,
Asm,M3,CZ14,cDXGF,679306479.5,0.0,748387989393.07,679306479.5,0.0,748387989393.07,,,,
Asm,M3,CZ15,cDXGF,13342506.04,0.0,907417690393.69,13342506.04,0.0,907417690393.69,,,,
Asm,M3,CZ16,cDXGF,7321032071.86,0.0,621623269781.51,7321032071.86,0.0,621623269781.51,,,,
Asm,M3,CZ01,cDXHP,0.0,459716315.55,546736265340.73,0.0,459716315.55,546736265340.73,,,,
Asm,M3,CZ02,cDXHP,0.0,360541418.3,633312111894.24,0.0,360541418.3,633312111894.24,,,,
Asm,M3,CZ03,cDXHP,0.0,86381639.36,617082400543.61,0.0,86381639.36,617082400543.61,,,,
Asm,M3,CZ04,cDXHP,0.0,234661207.36,695569156929.15,0.0,234661207.36,695569156929.15,,,,
Asm,M3,CZ05,cDXHP,0.0,51192495.72,624294821141.52,0.0,51192495.72,624294821141.52,,,,
Asm,M3,CZ06,cDXHP,0.0,2864324.08,673981841368.4,0.0,2864324.08,673981841368.4,,,,
Asm,M3,CZ07,cDXHP,0.0,169457.48,674364934927.71,0.0,169457.48,674364934927.71,,,,
Asm,M3,CZ08,cDXHP,0.0,3826583.84,721644520934.22,0.0,3826583.84,721644520934.22,,,,
Asm,M3,CZ09,cDXHP,0.0,17246310.39,729618080566.96,0.0,17246310.39,729618080566.96,,,,
Asm,M3,CZ10,cDXHP,0.0,6246227.57,735764107954.98,0.0,6246227.57,735764107954.98,,,,
Asm,M3,CZ11,cDXHP,0.0,542916810.5,733172529424.3,0.0,542916810.5,733172529424.3,,,,
Asm,M3,CZ12,cDXHP,0.0,331343585.04,686966305975.52,0.0,331343585.04,686966305975.52,,,,
Asm,M3,CZ13,cDXHP,0.0,200945151.06,756281024435.62,0.0,200945151.06,756281024435.62,,,,
Asm,M3,CZ14,cDXHP,0.0,201377512.41,748176268074.26,0.0,201377512.41,748176268074.26,,,,
Asm,M3,CZ15,cDXHP,0.0,3622527.44,907417688893.24,0.0,3622527.44,907417688893.24,,,,
Asm,M3,CZ16,cDXHP,0.0,2234686706.09,617167063165.53,0.0,2234686706.09,617167063165.53,,,,
Asm,M3,CZ01,cPTAC,0.0,0.0,547119369145.32,0.0,0.0,547119369145.32,,,,
Asm,M3,CZ02,cPTAC,0.0,0.0,632970845857.06,0.0,0.0,632970845857.06,,,,
Asm,M3,CZ03,cPTAC,0.0,0.0,616058782307.03,0.0,0.0,616058782307.03,,,,
Asm,M3,CZ04,cPTAC,0.0,0.0,695479018287.46,0.0,0.0,695479018287.46,,,,
Asm,M3,CZ05,cPTAC,0.0,0.0,623584815277.48,0.0,0.0,623584815277.48,,,,
Asm,M3,CZ06,cPTAC,0.0,0.0,672950714749.88,0.0,0.0,672950714749.88,,,,
Asm,M3,CZ07,cPTAC,0.0,0.0,673566781840.94,0.0,0.0,673566781840.94,,,,
Asm,M3,CZ08,cPTAC,0.0,0.0,721528704419.72,0.0,0.0,721528704419.72,,,,
Asm,M3,CZ09,cPTAC,0.0,0.0,729681867480.55,0.0,0.0,729681867480.55,,,,
Asm,M3,CZ10,cPTAC,0.0,0.0,735781302498.67,0.0,0.0,735781302498.67,,,,
Asm,M3,CZ11,cPTAC,0.0,0.0,733047882593.85,0.0,0.0,733047882593.85,,,,
Asm,M3,CZ12,cPTAC,0.0,0.0,686813178910.96,0.0,0.0,686813178910.96,,,,
Asm,M3,CZ13,cPTAC,0.0,0.0,756172683977.06,0.0,0.0,756172683977.06,,,,
Asm,M3,CZ14,cPTAC,0.0,0.0,748353687813.6,0.0,0.0,748353687813.6,,,,
Asm,M3,CZ15,cPTAC,0.0,0.0,907442107562.51,0.0,0.0,907442107562.51,,,,
Asm,M3,CZ16,cPTAC,0.0,0.0,621454462739.53,0.0,0.0,621454462739.53,,,,
Asm,M3,CZ01,cPVVG,0.0,0.0,0.0,1782460961.64,0.0,542782785796.03,,,,
Asm,M3,CZ02,cPVVG,0.0,0.0,0.0,1364453727.35,0.0,627972877309.48,,,,
Asm,M3,CZ03,cPVVG,0.0,0.0,0.0,350885469.65,0.0,611144606309.44,,,,
Asm,M3,CZ04,cPVVG,0.0,0.0,0.0,881852715.67,0.0,690007383809.77,,,,
Asm,M3,CZ05,cPVVG,0.0,0.0,0.0,205661425.53,0.0,618516349409.23,,,,
Asm,M3,CZ06,cPVVG,0.0,0.0,0.0,11814897.69,0.0,667574872511.97,,,,
Asm,M3,CZ07,cPVVG,0.0,0.0,0.0,683390.26,0.0,668174680733.59,,,,
Asm,M3,CZ08,cPVVG,0.0,0.0,6088789.75,15776924.8,0.0,715932583865.56,,,,
Asm,M3,CZ09,cPVVG,0.0,0.0,14738349.27,68699876.69,0.0,723934044025.25,,,,
Asm,M3,CZ10,cPVVG,0.0,0.0,10327902.38,24818199.66,0.0,730029668066.97,,,,
Asm,M3,CZ11,cPVVG,0.0,0.0,157525191.83,2053867506.69,0.0,727436522791.58,,,,
Asm,M3,CZ12,cPVVG,0.0,0.0,0.0,1264261197.13,0.0,681533060365.1,,,,
Asm,M3,CZ13,cPVVG,0.0,0.0,252270775.68,780705810.16,0.0,750387705110.11,,,,
Asm,M3,CZ14,cPVVG,0.0,0.0,151548438.91,708146850.57,0.0,742267974941.49,,,,
