TabularDataIndex,Value,ReportName,ReportForString,TableName,RowName,ColumnName,Units,File Name
6,52.44,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,668060.5,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,163.53,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,2083149.92,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,56.22,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,716128.58,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,172.19,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2193485.6,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,54.63,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,695878.93,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,166.81,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,2124957.16,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
