Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,5.7222
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,5.1431
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,4.8213
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,4.812
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,4.5249
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,6.5431
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,7.8044
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,9.9769
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,17.5831
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,5.7175
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,5.1374
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,4.8213
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,4.8101
CZ09,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,4.5249
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,8.5661
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,10.3191
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,13.3284
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,23.9997
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,7.4186
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,6.609
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,6.1591
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,6.146
CZ10,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,5.7447
