File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,50.20,91.48,34756.18,63333.65
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,49.75,90.05,34443.15,62342.28
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,50.69,93.04,35096.10,64410.19
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,50.19,91.44,34746.30,63302.35
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,51.58,95.83,35707.74,66347.25
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.83,99.80,36574.72,69092.97
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,54.74,105.86,37899.13,73287.36
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,58.03,116.26,40172.69,80487.73
CZ06/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,69.67,153.14,48235.05,106021.23
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,47.22,92.31,32693.78,63907.35
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,46.40,89.68,32119.90,62089.88
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.78,97.25,33774.15,67328.91
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,47.78,94.08,33080.00,65130.52
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,46.89,91.25,32462.72,63175.58
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,50.18,101.66,34738.34,70382.49
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,52.25,108.24,36175.81,74934.97
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,55.74,119.30,38593.01,82590.21
CZ06/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,67.63,156.94,46822.27,108652.30
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,48.70,88.06,33712.63,60961.68
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,48.31,86.84,33446.01,60117.31
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,49.11,89.38,34002.15,61878.59
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,48.68,88.02,33704.21,60935.03
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.87,91.76,34523.09,63528.42
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,50.93,95.14,35261.52,65867.00
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.56,100.30,36389.54,69439.44
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,55.36,109.16,38325.97,75572.13
CZ07/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,65.28,140.57,45192.83,97319.48
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,46.10,88.81,31912.27,61482.74
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,45.38,86.54,31416.28,59911.91
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,47.43,93.03,32836.26,64408.99
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,46.57,90.32,32242.71,62529.23
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,45.80,87.88,31709.44,60840.38
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.62,96.80,33660.12,67018.17
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,50.39,102.42,34887.51,70905.32
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,53.37,111.85,36949.95,77437.05
CZ07/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,63.51,143.94,43965.38,99654.94
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,52.72,101.08,36497.86,69977.62
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,51.99,98.78,35996.38,68389.41
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,53.51,103.57,37042.43,71702.27
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,52.70,101.01,36482.03,69927.48
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,54.92,108.05,38022.29,74805.48
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,56.93,114.41,39411.21,79204.20
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,59.99,124.11,41532.94,85923.72
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,65.25,140.77,45175.25,97458.90
CZ08/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,83.91,199.86,58091.36,138364.22
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,50.19,101.96,34747.66,70585.15
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,49.14,98.64,34022.80,68289.51
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,52.55,109.42,36378.84,75751.11
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,51.03,104.61,35327.42,72421.25
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,49.89,101.01,34541.01,69930.69
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,54.68,116.17,37854.91,80425.80
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,57.89,126.35,40079.54,87471.22
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,63.35,143.64,43861.00,99447.09
CZ08/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,82.19,203.29,56900.26,140742.45
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,57.50,107.89,39806.94,74696.60
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,56.72,105.42,39265.24,72981.05
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,58.35,110.59,40395.17,76559.54
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,57.47,107.82,39789.84,74642.44
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,59.88,115.43,41453.59,79911.56
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,62.04,122.29,42953.88,84662.98
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,65.35,132.77,45245.74,91921.28
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,71.04,150.77,49180.09,104381.37
CZ09/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,91.19,214.59,63131.83,148566.53
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,52.60,109.57,36413.46,75857.69
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,51.19,105.11,35439.00,72771.60
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,55.28,118.08,38273.43,81748.23
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,53.56,112.61,37078.05,77962.47
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,52.04,107.81,36029.25,74640.93
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,57.68,125.68,39935.31,87011.41
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,61.27,137.03,42415.25,94865.37
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,67.30,156.12,46589.28,108084.53
CZ09/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,87.84,221.20,60815.48,153138.89
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,57.36,104.84,39712.33,72584.96
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,56.69,102.70,39244.24,71102.50
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,58.10,107.17,40220.64,74194.78
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,57.34,104.78,39697.56,72538.16
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,59.42,111.35,41135.26,77091.36
CZ10/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,61.29,117.28,42431.70,81197.20
