TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ14,27443.09,29545.37,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ15,7300.6,88094.08,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ16,33034.26,11085.79,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ01,13243.37,1576.43,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ02,21497.14,8286.03,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ03,20454.81,10751.99,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ04,33628.22,20406.96,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ05,22335.57,9633.99,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ06,11188.62,12619.14,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ07,9046.86,10066.02,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ08,10365.45,27556.45,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ09,19824.74,27220.9,6172.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ10,10014.87,27777.77,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ11,18906.88,38680.39,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ12,18721.7,16959.56,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ13,28310.08,49806.28,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ14,27443.09,29545.37,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ15,7300.6,88094.08,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ16,33034.26,11085.79,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ01,12722.18,1343.6,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ02,20512.55,7062.25,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ03,19381.07,9164.01,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ04,31956.33,17393.01,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ05,21184.39,8211.12,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ06,10552.61,10755.39,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ07,8533.14,8579.35,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ08,9803.32,23486.58,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ09,18734.39,23200.58,6172.68
