Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ15\Rt3\M3-cPVVG-Measure\instance0602050000\eplustbl.csv,M3,Rt3,CZ15,cPVVG,Measure,1186563.9,826854.1499999999,11148.36,0.0,3017.32,588825.21,164201.87,1.17,31.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ16\Rt3\M3-cPVVG-Measure\instance0601205423\eplustbl.csv,M3,Rt3,CZ16,cPVVG,Measure,910325.9399999998,894280.9099999999,11148.36,0.0,62142.42,337212.11,151243.34,11.17,4.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ01\Rt3\M4-cDXGF-Base\instance0601210939\eplustbl.csv,M4,Rt3,CZ01,cDXGF,Base,637658.2599999999,998575.8300000001,11148.36,0.0,285639.13,44478.31,613177.92,32.17,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ02\Rt3\M4-cDXGF-Base\instance0601223202\eplustbl.csv,M4,Rt3,CZ02,cDXGF,Base,826842.87,1145847.88,11148.36,0.0,224696.43,192975.9,734944.09,22.67,1.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ03\Rt3\M4-cDXGF-Base\instance0601235304\eplustbl.csv,M4,Rt3,CZ03,cDXGF,Base,731487.3300000001,1024660.42,11148.36,0.0,126087.15,144502.42,678475.78,21.83,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ04\Rt3\M4-cDXGF-Base\instance0602013201\eplustbl.csv,M4,Rt3,CZ04,cDXGF,Base,914751.8999999999,1192080.28,11148.36,0.0,190963.89,294067.41,787171.86,13.0,19.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ05\Rt3\M4-cDXGF-Base\instance0602030626\eplustbl.csv,M4,Rt3,CZ05,cDXGF,Base,748256.5599999999,1069657.57,11148.36,0.0,123215.58,155903.13,702847.07,23.33,2.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ06\Rt3\M4-cDXGF-Base\instance0602043602\eplustbl.csv,M4,Rt3,CZ06,cDXGF,Base,782366.8099999999,996107.25,11148.36,0.0,25212.13,271961.97,727862.62,5.0,28.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ07\Rt3\M4-cDXGF-Base\instance0602060657\eplustbl.csv,M4,Rt3,CZ07,cDXGF,Base,826155.3,1019803.2799999998,11148.36,0.0,20785.21,284600.19,748059.66,4.0,9.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ08\Rt3\M4-cDXGF-Base\instance0602074445\eplustbl.csv,M4,Rt3,CZ08,cDXGF,Base,922076.7699999999,1087847.28,11148.36,0.0,34109.56,367584.72,775111.85,5.17,22.33
