Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Rt3,M4,cDXHP,Base,CZ13,36.95444444444445,2111711553.8837504
Rt3,M4,cDXHP,Measure,CZ13,36.95444444444445,2109133189.385613
Rt3,M4,cPTAC,Base,CZ13,36.95444444444445,2090273553.73645
Rt3,M4,cPTAC,Measure,CZ13,36.95444444444445,2088342938.6642363
Rt3,M4,cPVVG,Base,CZ13,36.95444444444445,2037924659.0345461
Rt3,M4,cPVVG,Measure,CZ13,36.95444444444445,2041763366.880111
Rt3,M5,cDXGF,Base,CZ13,36.95444444444445,1964021927.4674494
Rt3,M5,cDXGF,Measure,CZ13,36.95444444444445,1964869328.707386
Rt3,M5,cDXHP,Base,CZ13,36.95444444444445,1900121742.026449
Rt3,M5,cDXHP,Measure,CZ13,36.95444444444445,1901219083.5704665
Rt3,M5,cPTAC,Base,CZ13,36.95444444444445,1964021616.575826
Rt3,M5,cPTAC,Measure,CZ13,36.95444444444445,1964869981.9037552
Rt3,M5,cPVVG,Base,CZ13,36.95444444444445,1952561856.5587914
Rt3,M5,cPVVG,Measure,CZ13,36.95444444444445,1953439727.9299505
RtL,M1,cDXGF,Base,CZ13,36.95444444444445,2101949176.3426154
RtL,M1,cDXGF,Measure,CZ13,36.95444444444445,2097994290.907348
RtL,M1,cDXHP,Base,CZ13,36.95444444444445,2105023746.4203916
RtL,M1,cDXHP,Measure,CZ13,36.95444444444445,2101041108.434808
RtL,M1,cPTAC,Base,CZ13,36.95444444444445,2101951961.9731088
RtL,M1,cPTAC,Measure,CZ13,36.95444444444445,2097997110.5820627
RtL,M1,cPVVG,Base,CZ13,36.95444444444445,2030514796.8013391
RtL,M1,cPVVG,Measure,CZ13,36.95444444444445,2032853245.024791
RtL,M2,cDXGF,Base,CZ13,36.95444444444445,1895923277.6718462
RtL,M2,cDXGF,Measure,CZ13,36.95444444444445,1887013086.325751
RtL,M2,cDXHP,Base,CZ13,36.95444444444445,1895166169.7342305
RtL,M2,cDXHP,Measure,CZ13,36.95444444444445,1886179120.114436
RtL,M2,cPTAC,Base,CZ13,36.95444444444445,1895923277.6718216
RtL,M2,cPTAC,Measure,CZ13,36.95444444444445,1887013086.3257868
RtL,M2,cPVVG,Base,CZ13,36.95444444444445,1783950604.5362248
RtL,M2,cPVVG,Measure,CZ13,36.95444444444445,1774652953.2652736
RtL,M3,cDXGF,Base,CZ13,36.95444444444445,1773227647.8996644
RtL,M3,cDXGF,Measure,CZ13,36.95444444444445,1773228304.5854204
RtL,M3,cDXHP,Base,CZ13,36.95444444444445,1769779287.897714
RtL,M3,cDXHP,Measure,CZ13,36.95444444444445,1769779945.0172257
RtL,M3,cPTAC,Base,CZ13,36.95444444444445,1773227647.8996994
RtL,M3,cPTAC,Measure,CZ13,36.95444444444445,1773228304.5853915
RtL,M3,cPVVG,Base,CZ13,36.95444444444445,1756353781.529001
RtL,M3,cPVVG,Measure,CZ13,36.95444444444445,1756354451.8308854
RtL,M4,cDXGF,Base,CZ13,36.95444444444445,2102077780.0275476
RtL,M4,cDXGF,Measure,CZ13,36.95444444444445,2098143391.6262145
RtL,M4,cDXHP,Base,CZ13,36.95444444444445,2105152434.9244378
RtL,M4,cDXHP,Measure,CZ13,36.95444444444445,2101190477.4393106
RtL,M4,cPTAC,Base,CZ13,36.95444444444445,2102077780.027554
RtL,M4,cPTAC,Measure,CZ13,36.95444444444445,2098143391.6261706
RtL,M4,cPVVG,Base,CZ13,36.95444444444445,2030706411.5770411
RtL,M4,cPVVG,Measure,CZ13,36.95444444444445,2033056624.7934384
RtL,M5,cDXGF,Base,CZ13,36.95444444444445,1913428135.5561972
RtL,M5,cDXGF,Measure,CZ13,36.95444444444445,1913428949.8179536
RtL,M5,cDXHP,Base,CZ13,36.95444444444445,1898499143.2151568
RtL,M5,cDXHP,Measure,CZ13,36.95444444444445,1898499945.5618117
RtL,M5,cPTAC,Base,CZ13,36.95444444444445,1913428135.5561748
