TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ01,cDXGF,0,Area-ft2-BA,139998.9,139998.9,346945.92,125722.95,0,179632.92,0.0,18012.25,0,0,23041.86,0,0,0,0,0,0,4193.118771331058,886.9931740614335,3306.1255972696244,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ02,cDXGF,0,Area-ft2-BA,139998.9,139998.9,409351.82,125722.95,0,179632.92,0.0,68837.56,0,0,34693.83,0,0,0,0,0,0,3027.1798634812285,886.9931740614335,2140.186689419795,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ03,cDXGF,0,Area-ft2-BA,139998.9,139998.9,394093.48000000004,125722.95,0,179632.92,0.0,53548.92,0,0,34837.31,0,0,0,0,0,0,2103.1488054607507,886.9931740614335,1216.1556313993174,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ04,cDXGF,0,Area-ft2-BA,139998.9,139998.9,429336.25,125722.95,0,179632.92,0.0,84250.3,0,0,39315.48,0,0,0,0,0,0,2100.271672354949,886.9931740614335,1213.2784982935152,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ05,cDXGF,0,Area-ft2-BA,139998.9,139998.9,403934.4,125722.95,0,179632.92,0.0,61124.92,0,0,37135.01,0,0,0,0,0,0,2187.482252559727,886.9931740614335,1300.4890784982936,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ06,cDXGF,0,Area-ft2-BA,139998.9,139998.9,450349.99000000005,125722.95,0,179632.92,0.0,96984.65,0,0,47691.88,0,0,0,0,0,0,1153.8849829351536,886.9931740614335,266.89180887372015,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ07,cDXGF,0,Area-ft2-BA,139998.9,139998.9,452389.9,125722.95,0,179632.92,0.0,99489.87,0,0,47273.8,0,0,0,0,0,0,1158.8737201365188,886.9931740614335,271.8805460750853,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ08,cDXGF,0,Area-ft2-BA,139998.9,139998.9,467316.57,125722.95,0,179632.92,0.0,114540.12,0,0,47062.16,0,0,0,0,0,0,1421.3965870307165,886.9931740614335,534.4034129692833,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ09,cDXGF,0,Area-ft2-BA,139998.9,139998.9,483199.56000000006,125722.95,0,179632.92,0.0,127447.15,0,0,50004.65,0,0,0,0,0,0,1263.7324232081912,886.9931740614335,376.73924914675763,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ10,cDXGF,0,Area-ft2-BA,139998.9,139998.9,509943.4000000001,125722.95,0,179632.92,0.0,154226.01,0,0,49894.89,0,0,0,0,0,0,1897.3402730375426,886.9931740614335,1010.3470989761091,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ11,cDXGF,0,Area-ft2-BA,139998.9,139998.9,512321.77,125722.95,0,179632.92,0.0,159777.22,0,0,46482.76,0,0,0,0,0,0,3713.3675767918094,886.9931740614335,2826.3744027303756,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ12,cDXGF,0,Area-ft2-BA,139998.9,139998.9,483264.57,125722.95,0,179632.92,0.0,133287.03,0,0,44033.74,0,0,0,0,0,0,3587.1952218430038,886.9931740614335,2700.20204778157,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ13,cDXGF,0,Area-ft2-BA,139998.9,139998.9,537651.6100000001,125722.95,0,179632.92,0.0,180606.98,0,0,51018.99,0,0,0,0,0,0,3383.698976109215,886.9931740614335,2496.705802047781,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ14,cDXGF,0,Area-ft2-BA,139998.9,139998.9,581672.46,125722.95,0,179632.92,0.0,219264.84,0,0,56433.77,0,0,0,0,0,0,2818.0218430034133,886.9931740614335,1931.0286689419795,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ15,cDXGF,0,Area-ft2-BA,139998.9,139998.9,670597.9400000001,125722.95,0,179632.92,0.0,299984.15,0,0,64740.02,0,0,0,0,0,0,1907.4037542662115,886.9931740614335,1020.4105802047781,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Htl,1975,CZ16,cDXGF,0,Area-ft2-BA,139998.9,139998.9,489410.7100000001,125722.95,0,179632.92,0.0,133754.67,0,0,49531.27,0,0,0,0,0,0,5115.162116040956,886.9931740614335,4228.168941979522,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ01,cDXGF,0,Area-ft2-BA,100002.1,100002.1,339004.94999999995,139099.3,0,145958.35,0.0,5145.44,0,0,48000.23,0,0,0,0,0,0,9528.56757679181,0.0,9528.56757679181,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ02,cDXGF,0,Area-ft2-BA,100002.1,100002.1,417811.71,139099.3,0,145958.35,0.0,70547.04,0,0,61658.46,0,0,0,0,0,0,5892.198293515358,0.0,5892.198293515358,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ03,cDXGF,0,Area-ft2-BA,100002.1,100002.1,389002.91,139099.3,0,145958.35,0.0,41568.0,0,0,62017.29,0,0,0,0,0,0,3899.7187713310577,0.0,3899.7187713310577,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ04,cDXGF,0,Area-ft2-BA,100002.1,100002.1,436733.19,139099.3,0,145958.35,0.0,83705.37,0,0,67495.23,0,0,0,0,0,0,4524.495904436861,0.0,4524.495904436861,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ05,cDXGF,0,Area-ft2-BA,100002.1,100002.1,399188.91000000003,139099.3,0,145958.35,0.0,48922.61,0,0,64872.95,0,0,0,0,0,0,3967.2720136518774,0.0,3967.2720136518774,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ06,cDXGF,0,Area-ft2-BA,100002.1,100002.1,449580.10000000003,139099.3,0,145958.35,0.0,86088.34,0,0,78039.91,0,0,0,0,0,0,2256.3457337883956,0.0,2256.3457337883956,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ07,cDXGF,0,Area-ft2-BA,100002.1,100002.1,453212.79,139099.3,0,145958.35,0.0,91132.45,0,0,76595.89,0,0,0,0,0,0,2138.2191126279863,0.0,2138.2191126279863,0.0,1,1,2024-02-07 21:46:14.214415
StdNRes-SplitAC-1Sp-S14.0,None,Asm,1975,CZ08,cDXGF,0,Area-ft2-BA,100002.1,100002.1,472789.86,139099.3,0,145958.35,0.0,111855.51,0,0,75335.46,0,0,0,0,0,0,3226.958361774744,0.0,3226.958361774744,0.0,1,1,2024-02-07 21:46:14.214415
