Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
RtS,M2,cDXGF,Base,CZ07,26.066111111111113,110007377.0717385
RtS,M2,cDXGF,Measure,CZ07,26.066111111111113,109290077.88642147
RtS,M2,cDXHP,Base,CZ07,26.066111111111113,110275631.89311603
RtS,M2,cDXHP,Measure,CZ07,26.066111111111113,109527653.46517451
RtS,M2,cPTAC,Base,CZ07,26.066111111111113,110007377.0717365
RtS,M2,cPTAC,Measure,CZ07,26.066111111111113,109290077.8864202
RtS,M2,cPVVG,Base,CZ07,26.066111111111113,103488888.7187509
RtS,M2,cPVVG,Measure,CZ07,26.066111111111113,102872716.37345554
RtS,M3,cDXGF,Base,CZ07,26.066111111111113,101872221.65656397
RtS,M3,cDXGF,Measure,CZ07,26.066111111111113,94718620.73853397
RtS,M3,cDXHP,Base,CZ07,26.066111111111113,100049856.4629735
RtS,M3,cDXHP,Measure,CZ07,26.066111111111113,92854947.41889207
RtS,M3,cPTAC,Base,CZ07,26.066111111111113,101872221.65656278
RtS,M3,cPTAC,Measure,CZ07,26.066111111111113,94718620.7385331
RtS,M3,cPVVG,Base,CZ07,26.066111111111113,100887894.1516663
RtS,M3,cPVVG,Measure,CZ07,26.066111111111113,93772412.05111732
RtS,M4,cDXGF,Base,CZ07,26.066111111111113,114287979.5400748
RtS,M4,cDXGF,Measure,CZ07,26.066111111111113,114013420.58868757
RtS,M4,cDXHP,Base,CZ07,26.066111111111113,114145035.82364438
RtS,M4,cDXHP,Measure,CZ07,26.066111111111113,113846465.01456429
RtS,M4,cPTAC,Base,CZ07,26.066111111111113,114287979.54007024
RtS,M4,cPTAC,Measure,CZ07,26.066111111111113,114013420.58868591
RtS,M4,cPVVG,Base,CZ07,26.066111111111113,108585760.60540417
RtS,M4,cPVVG,Measure,CZ07,26.066111111111113,109119872.36681071
RtS,M5,cDXGF,Base,CZ07,26.066111111111113,108690914.26699628
RtS,M5,cDXGF,Measure,CZ07,26.066111111111113,102727248.4209234
RtS,M5,cDXHP,Base,CZ07,26.066111111111113,106815826.13914204
RtS,M5,cDXHP,Measure,CZ07,26.066111111111113,100791475.17706646
RtS,M5,cPTAC,Base,CZ07,26.066111111111113,108690914.26699658
RtS,M5,cPTAC,Measure,CZ07,26.066111111111113,102727248.42091669
RtS,M5,cPVVG,Base,CZ07,26.066111111111113,107858922.17488159
RtS,M5,cPVVG,Measure,CZ07,26.066111111111113,101921561.09476015
SCn,M1,cDXGF,Base,CZ07,26.066111111111113,1874105805.0675855
SCn,M1,cDXGF,Measure,CZ07,26.066111111111113,1872614565.413933
SCn,M1,cDXHP,Base,CZ07,26.066111111111113,1945411112.4320204
SCn,M1,cDXHP,Measure,CZ07,26.066111111111113,1940088420.555095
SCn,M1,cPTAC,Base,CZ07,26.066111111111113,1874105805.0675976
SCn,M1,cPTAC,Measure,CZ07,26.066111111111113,1872614565.414237
SCn,M1,cPVVG,Base,CZ07,26.066111111111113,1873446488.344609
SCn,M1,cPVVG,Measure,CZ07,26.066111111111113,1872297566.6102972
SCn,M2,cDXGF,Base,CZ07,26.066111111111113,1721603398.3129816
SCn,M2,cDXGF,Measure,CZ07,26.066111111111113,1705999224.6710608
SCn,M2,cDXHP,Base,CZ07,26.066111111111113,1720650862.842761
SCn,M2,cDXHP,Measure,CZ07,26.066111111111113,1707430886.819274
SCn,M2,cPTAC,Base,CZ07,26.066111111111113,1721603456.4200683
SCn,M2,cPTAC,Measure,CZ07,26.066111111111113,1705999224.6711388
SCn,M2,cPVVG,Base,CZ07,26.066111111111113,1708133957.9202847
SCn,M2,cPVVG,Measure,CZ07,26.066111111111113,1694387738.1058605
SCn,M3,cDXGF,Base,CZ07,26.066111111111113,1660255364.3137708
SCn,M3,cDXGF,Measure,CZ07,26.066111111111113,1545632569.1283689
SCn,M3,cDXHP,Base,CZ07,26.066111111111113,1647956968.8750198
SCn,M3,cDXHP,Measure,CZ07,26.066111111111113,1532113796.3807864
SCn,M3,cPTAC,Base,CZ07,26.066111111111113,1660255364.3138013
SCn,M3,cPTAC,Measure,CZ07,26.066111111111113,1545632569.1283793
SCn,M3,cPVVG,Base,CZ07,26.066111111111113,1652530884.1466916
SCn,M3,cPVVG,Measure,CZ07,26.066111111111113,1538199054.057875
SCn,M4,cDXGF,Base,CZ07,26.066111111111113,1874105805.4565175
SCn,M4,cDXGF,Measure,CZ07,26.066111111111113,1872614584.0330799
SCn,M4,cDXHP,Base,CZ07,26.066111111111113,1945411113.7268367
SCn,M4,cDXHP,Measure,CZ07,26.066111111111113,1940089446.5410314
SCn,M4,cPTAC,Base,CZ07,26.066111111111113,1874105805.4565246
SCn,M4,cPTAC,Measure,CZ07,26.066111111111113,1872614584.033371
SCn,M4,cPVVG,Base,CZ07,26.066111111111113,1873446488.3122325
SCn,M4,cPVVG,Measure,CZ07,26.066111111111113,1872298141.7027767
SCn,M5,cDXGF,Base,CZ07,26.066111111111113,1872677300.552323
SCn,M5,cDXGF,Measure,CZ07,26.066111111111113,1764175150.559344
SCn,M5,cDXHP,Base,CZ07,26.066111111111113,1943334613.5886965
SCn,M5,cDXHP,Measure,CZ07,26.066111111111113,1823441354.2892864
SCn,M5,cPTAC,Base,CZ07,26.066111111111113,1872677300.5521593
SCn,M5,cPTAC,Measure,CZ07,26.066111111111113,1764175049.7156909
SCn,M5,cPVVG,Base,CZ07,26.066111111111113,1872481110.2944655
SCn,M5,cPVVG,Measure,CZ07,26.066111111111113,1763982973.3859723
Asm,M1,cDXGF,Base,CZ08,32.875,710116811.8460196
Asm,M1,cDXGF,Measure,CZ08,32.875,721413472.5686959
Asm,M1,cDXHP,Base,CZ08,32.875,712107564.9507498
Asm,M1,cDXHP,Measure,CZ08,32.875,723947589.6754934
Asm,M1,cPTAC,Base,CZ08,32.875,710115784.7143985
Asm,M1,cPTAC,Measure,CZ08,32.875,721413472.568671
Asm,M1,cPVVG,Base,CZ08,32.875,672706169.1772199
Asm,M1,cPVVG,Measure,CZ08,32.875,690883188.3012198
Asm,M2,cDXGF,Base,CZ08,32.875,626592826.0891238
Asm,M2,cDXGF,Measure,CZ08,32.875,622764274.1889794
Asm,M2,cDXHP,Base,CZ08,32.875,627267577.5657403
Asm,M2,cDXHP,Measure,CZ08,32.875,623413287.1675187
Asm,M2,cPTAC,Base,CZ08,32.875,626592826.0891219
Asm,M2,cPTAC,Measure,CZ08,32.875,622764274.1889851
Asm,M2,cPVVG,Base,CZ08,32.875,574648087.0601703
Asm,M2,cPVVG,Measure,CZ08,32.875,570928931.6712408
Asm,M3,cDXGF,Base,CZ08,32.875,559501847.2928843
Asm,M3,cDXGF,Measure,CZ08,32.875,503863180.1653968
Asm,M3,cDXHP,Base,CZ08,32.875,557140557.5452102
Asm,M3,cDXHP,Measure,CZ08,32.875,501377033.19105154
Asm,M3,cPTAC,Base,CZ08,32.875,559501847.2928846
Asm,M3,cPTAC,Measure,CZ08,32.875,503863180.1653976
Asm,M3,cPVVG,Base,CZ08,32.875,552167666.3826493
Asm,M3,cPVVG,Measure,CZ08,32.875,496859546.94963324
Asm,M4,cDXGF,Base,CZ08,32.875,710117335.1513997
Asm,M4,cDXGF,Measure,CZ08,32.875,721414732.4283767
Asm,M4,cDXHP,Base,CZ08,32.875,712108073.7497116
Asm,M4,cDXHP,Measure,CZ08,32.875,723948900.9037844
Asm,M4,cPTAC,Base,CZ08,32.875,710116309.1845744
Asm,M4,cPTAC,Measure,CZ08,32.875,721414732.4283553
Asm,M4,cPVVG,Base,CZ08,32.875,672706130.9063116
Asm,M4,cPVVG,Measure,CZ08,32.875,690885571.6870891
Asm,M5,cDXGF,Base,CZ08,32.875,617368986.1958748
Asm,M5,cDXGF,Measure,CZ08,32.875,570003496.272964
Asm,M5,cDXHP,Base,CZ08,32.875,609050178.262036
Asm,M5,cDXHP,Measure,CZ08,32.875,562247357.5442628
Asm,M5,cPTAC,Base,CZ08,32.875,617368986.1958864
Asm,M5,cPTAC,Measure,CZ08,32.875,570003496.2729678
Asm,M5,cPVVG,Base,CZ08,32.875,610834533.8302493
Asm,M5,cPVVG,Measure,CZ08,32.875,563729232.5075244
ECC,M1,cDXGF,Base,CZ08,32.875,2051438859.409288
ECC,M1,cDXGF,Measure,CZ08,32.875,2066856643.832318
ECC,M1,cDXHP,Base,CZ08,32.875,2057909078.408135
ECC,M1,cDXHP,Measure,CZ08,32.875,2073526682.1385305
ECC,M1,cPTAC,Base,CZ08,32.875,2051436437.6208985
ECC,M1,cPTAC,Measure,CZ08,32.875,2066855084.1047342
ECC,M1,cPVVG,Base,CZ08,32.875,1864274148.7143683
ECC,M1,cPVVG,Measure,CZ08,32.875,1906067284.7550862
ECC,M2,cDXGF,Base,CZ08,32.875,1894907069.2264485
ECC,M2,cDXGF,Measure,CZ08,32.875,1863945458.5525591
ECC,M2,cDXHP,Base,CZ08,32.875,1892614233.6307418
ECC,M2,cDXHP,Measure,CZ08,32.875,1861517589.6444256
