Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\MLI\M3-cPTAC-Base\instance0820010508\eplustbl.csv,M3,MLI,CZ15,cPTAC,Base,720358.98,0.0,9291.61,0.0,0.0,313817.41,128706.18,101.0,15.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\MLI\M3-cPTAC-Base\instance0819154628\eplustbl.csv,M3,MLI,CZ16,cPTAC,Base,705940.82,0.0,9291.61,0.0,0.0,116012.94,140018.39,1354.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\MLI\M3-cPTAC-Measure\instance0821182223\eplustbl.csv,M3,MLI,CZ01,cPTAC,Measure,546383.61,0.0,9291.61,0.0,0.0,53223.15,97576.16,1437.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\MLI\M3-cPTAC-Measure\instance0821184518\eplustbl.csv,M3,MLI,CZ02,cPTAC,Measure,599702.12,0.0,9291.61,0.0,0.0,99792.1,99758.64,943.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\MLI\M3-cPTAC-Measure\instance0821190247\eplustbl.csv,M3,MLI,CZ03,cPTAC,Measure,556751.03,0.0,9291.61,0.0,0.0,87617.64,80142.02,664.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\MLI\M3-cPTAC-Measure\instance0821192302\eplustbl.csv,M3,MLI,CZ04,cPTAC,Measure,641193.27,0.0,9291.61,0.0,0.0,129161.83,105641.83,707.33,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\MLI\M3-cPTAC-Measure\instance0821194107\eplustbl.csv,M3,MLI,CZ05,cPTAC,Measure,572368.62,0.0,9291.61,0.0,0.0,87822.92,75053.0,478.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\MLI\M3-cPTAC-Measure\instance0821195908\eplustbl.csv,M3,MLI,CZ06,cPTAC,Measure,574960.11,0.0,9291.61,0.0,0.0,122599.83,78468.42,179.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\MLI\M3-cPTAC-Measure\instance0821201729\eplustbl.csv,M3,MLI,CZ07,cPTAC,Measure,599523.8200000001,0.0,9291.61,0.0,0.0,124457.68,75655.76,129.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\MLI\M3-cPTAC-Measure\instance0821203550\eplustbl.csv,M3,MLI,CZ08,cPTAC,Measure,602425.62,0.0,9291.61,0.0,0.0,151688.54,94389.65,212.33,0.0
