TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ13,5547.0633,5919.0775,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ14,6849.552,2883.312,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ15,1508.718,9921.7344,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ16,4001.3699,581.7401,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ01,3804.2456,101.5172,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ02,7431.8364,1465.348,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ03,5071.9532,1332.444,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ04,7257.626,3688.5696,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ05,5393.0032,1216.6536,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ06,2858.988,1759.405,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ07,2493.5315,1248.012,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ08,2605.8655,3773.727,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ09,3887.6238,3661.2492,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ10,2087.8682,2920.1734,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ11,4196.2011,3845.4651,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ12,4508.3746,1909.8775,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ13,4525.8159,5340.3156,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ14,5570.3576,2601.3824,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ15,1209.3356,8951.6004,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ16,3363.2385,524.8567,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ01,3804.2456,101.5172,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ02,7431.8364,1465.348,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ03,5071.9532,1332.444,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ04,7257.626,3688.5696,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ05,5393.0032,1216.6536,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ06,2858.988,1759.405,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ07,2493.5315,1248.012,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ08,2605.8655,3773.727,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ09,3887.6238,3661.2492,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ10,2087.8682,2920.1734,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ11,4196.2011,3845.4651,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ12,4508.3746,1909.8775,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ13,4525.8159,5340.3156,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ14,5570.3576,2601.3824,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ15,1209.3356,8951.6004,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ16,3363.2385,524.8567,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ01,3804.2456,101.5172,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ02,7431.8364,1465.348,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ03,5071.9532,1332.444,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ04,7257.626,3688.5696,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ05,5393.0032,1216.6536,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ06,2858.988,1759.405,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ07,2493.5315,1248.012,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ08,2605.8655,3773.727,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ09,3887.6238,3661.2492,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ10,2087.8682,2920.1734,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ11,4196.2011,3845.4651,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ12,4508.3746,1909.8775,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ13,4525.8159,5340.3156,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ14,5570.3576,2601.3824,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ15,1209.3356,8951.6004,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,SFm,CZ16,3363.2385,524.8567,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ01,3804.2456,101.5172,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ02,7431.8364,1465.348,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ03,5071.9532,1332.444,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ04,7257.626,3688.5696,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ05,5393.0032,1216.6536,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ06,2858.988,1759.405,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ07,2493.5315,1248.012,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ08,2605.8655,3773.727,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ09,3887.6238,3661.2492,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ10,2087.8682,2920.1734,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ11,4196.2011,3845.4651,1235.9302
