File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ03/Asm&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,94.87,599385.74,308.58,1949588.19
CZ03/ECC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,94.88,2505079.35,271.45,7166990.03
CZ03/ECC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,94.51,2495361.48,270.22,7134526.86
CZ03/ECC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,93.98,2481274.32,268.44,7087466.16
CZ03/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,100.77,381444.93,258.18,977310.99
CZ03/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,100.41,380106.26,257.00,972839.83
CZ03/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,99.91,378212.60,255.33,966515.00
CZ03/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,67.19,17999.42,144.59,38735.57
CZ03/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,66.95,17935.51,143.80,38522.12
CZ03/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,66.61,17845.01,142.67,38219.85
